This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"298524","STAR LAKE",-107.4656,35.9247,2022,"COOP","23392"
"298535","STATE UNIVER",-106.7597,32.2822,1183,"COOP","23393"
"298596","SUMNER LAKE",-104.3811,34.6033,1312,"COOP","23397"
"298639","TAIBAN",-104.0167,34.4500,1260,"COOP","23400"
"298648","TAJIQUE",-106.2833,34.7500,2040,"COOP","23401"
"298650","TAJIQUE 4 N",-106.3000,34.8000,2129,"COOP","23402"
"298668","TAOS",-105.5864,36.3906,2123,"COOP","23405"
"298713","TATUM",-103.3244,33.2558,1221,"COOP","23408"
"298788","TERERRO",-105.6667,35.7667,2288,"COOP","23411"
"298819","THOMPSON CAN",-108.6369,32.5428,1585,"COOP","23414"
"298830","THOREAU",-108.2333,35.4167,2177,"COOP","23416"
"298834","THOREAU 12 S",-108.1472,35.3000,2263,"COOP","23417"
"298845","TIERRA AMARI",-106.5536,36.7664,2275,"COOP","23419"
"298873","TIJERAS RANG",-106.3833,35.0667,1922,"COOP","23421"
"298919","TOHATCHI 1 E",-108.7333,35.8500,1958,"COOP","23423"
"298921","TOHATCHI 6 N",-108.6500,35.9000,1826,"COOP","23424"
"299031","TORREON NAVA",-107.1814,35.7992,2042,"COOP","23428"
"299085","TRES PIEDRAS",-105.9725,36.6511,2481,"COOP","23430"
"299095","TRES RITOS",-105.5167,36.1333,2532,"COOP","23431"
"299113","TRUCHAS",-105.8167,36.0333,2449,"COOP","23432"
"299128","TRUTH OR CON",-107.2314,33.1406,1336,"COOP","23434"
"299156","TUCUMCARI 4",-103.6867,35.2006,1245,"COOP","23438"
"299165","TULAROSA",-106.0417,33.0719,1350,"COOP","23439"
"299193","TURQUOISE BO",-106.1000,35.5500,1867,"COOP","23440"
"299284","UTE DAM",-103.4433,35.3600,1166,"COOP","23444"
"299330","VALMORA",-104.9244,35.8167,1928,"COOP","23448"
"299405","VAUGHN",-105.2000,34.6000,1821,"COOP","23452"
"299448","VERMEJO PARK",-104.9500,36.8833,2294,"COOP","23454"
"299496","VILLANUEVA",-105.3572,35.2667,1757,"COOP","23455"
"299508","VIRDEN",-108.9833,32.6833,1153,"COOP","23456"
"299569","WASTE ISOLTN",-103.7986,32.3778,1040,"COOP","23458"
"299686","WHITE SANDS",-106.1747,32.7817,1218,"COOP","23465"
"299691","WHITE SIGNAL",-108.3653,32.5561,1850,"COOP","23466"
"299720","WHITEWATER",-108.1264,32.5578,1530,"COOP","23470"
"299806","WINSTON",-107.6492,33.3497,1889,"COOP","23475"
"299820","WOLF CANYON",-106.7469,35.9478,2505,"COOP","23477"
"299851","YESO 2 S",-104.6128,34.4031,1446,"COOP","23482"
"300023","ADDISON",-77.2339,42.1197,299,"COOP","23488"
"300047","ALBANY",-73.7472,42.6461,6,"COOP","23492"
"300048","ALBANY NWFO",-73.8308,42.6925,89,"COOP","23493"
"300055","ALBION 2 NE",-78.1667,43.2722,134,"COOP","23495"
"300063","ALCOVE DAM",-73.9267,42.4697,185,"COOP","23496"
"300077","ALEXANDRIA B",-75.9167,44.3333,79,"COOP","23498"
"300085","ALFRED",-77.7850,42.2614,539,"COOP","23499"
"300093","ALLEGANY STA",-78.7500,42.1003,457,"COOP","23501"
"300136","AMAWALK",-73.7500,41.2833,116,"COOP","23502"
"300183","ANGELICA",-77.9889,42.3017,440,"COOP","23507"
"300220","ARCADE",-78.4167,42.5333,482,"COOP","23509"
"300237","ARENA",-74.7167,42.1000,442,"COOP","23510"
"300254","ARKVILLE 2 W",-74.6500,42.1333,399,"COOP","23514"
"300321","AUBURN",-76.5444,42.9322,235,"COOP","23520"
"300331","AURORA RESEA",-76.6500,42.7333,253,"COOP","23521"
"300343","AVON",-77.7556,42.9200,166,"COOP","23523"
"300360","BAINBRIDGE 2",-75.4500,42.2833,303,"COOP","23525"
"300368","BAKERS MILLS",-74.0333,43.6167,482,"COOP","23527"
"300379","BALDWINSVILL",-76.3333,43.1500,116,"COOP","23528"
"300393","BALSAM LAKE",-74.6000,42.0333,793,"COOP","23530"
"300412","BARKER 4 NE",-78.4833,43.3667,85,"COOP","23531"
"300443","BATAVIA",-78.1692,43.0303,278,"COOP","23534"
"300448","BATH",-77.3500,42.3500,341,"COOP","23535"
"300452","BATTENVILLE",-73.4319,43.1014,116,"COOP","23536"
"300500","BEAVER FALLS",-75.4333,43.8833,242,"COOP","23538"
"300511","BEDFORD HILL",-73.7167,41.2333,131,"COOP","23540"
"300608","BENNETTS BRI",-75.9528,43.5317,201,"COOP","23543"
"300613","BENNINGTON",-78.3958,42.8561,379,"COOP","23544"
"300641","BERLIN 5 S",-73.3667,42.6167,347,"COOP","23547"
"300654","BERNE 2 S",-74.1500,42.6000,323,"COOP","23551"
"300658","BERNE 5 SW",-74.1833,42.5833,564,"COOP","23553"
"300668","BIG MOOSE 3",-74.8667,43.8000,536,"COOP","23554"
"300681","BINGHAMTON S",-75.9000,42.1000,260,"COOP","23556"
"300706","BLACK RIVER",-75.8167,44.0000,162,"COOP","23560"
"300766","BOLIVAR",-78.2064,42.1225,546,"COOP","23564"
"300780","BOONVILLE 2",-75.3667,43.5167,360,"COOP","23567"
"300785","BOONVILLE 4",-75.3711,43.4394,469,"COOP","23568"
"300808","BOYDS CORNER",-73.7333,41.4500,171,"COOP","23571"
"300816","BRADFORD",-77.1000,42.3667,336,"COOP","23572"
"300817","BRADFORD 1 N",-77.1167,42.3833,415,"COOP","23573"
"300870","BREWERTON LO",-76.2000,43.2333,122,"COOP","23576"
"300889","BRIDGEHAMPTO",-72.3067,40.9464,18,"COOP","23578"
"300910","BRISTOL HARB",-77.3425,42.7481,287,"COOP","23579"
"300921","BRISTOL SPRI",-77.3833,42.7000,366,"COOP","23580"
"300929","BROADALBIN",-74.1981,43.0508,256,"COOP","23581"
"300937","BROCKPORT",-77.9333,43.2000,163,"COOP","23582"
"301032","BURDETT 1 NE",-76.8333,42.4167,314,"COOP","23590"
"301093","CAIRO",-74.0167,42.3167,92,"COOP","23595"
"301095","CAIRO 4 NW",-74.0333,42.3167,149,"COOP","23596"
"301101","CALLICOON",-75.0500,41.7667,244,"COOP","23597"
"301110","CAMDEN",-75.8472,43.3189,177,"COOP","23599"
"301138","CANADA LAKE",-74.5167,43.2500,512,"COOP","23602"
"301144","CANAJOHARIE",-74.5833,42.9167,92,"COOP","23603"
"301152","CANANDAIGUA",-77.2808,42.8450,219,"COOP","23604"
"301156","CANASERAGA",-77.7833,42.4667,384,"COOP","23605"
"301160","CANASTOTA",-75.7667,43.0833,125,"COOP","23606"
"301168","CANDOR 2 SE",-76.3133,42.1947,280,"COOP","23607"
"301173","CANISTEO 1 S",-77.6167,42.2667,352,"COOP","23609"
"301207","CARMEL",-73.6833,41.4333,162,"COOP","23612"
"301211","CARMEL 4 N",-73.6550,41.4725,207,"COOP","23613"
"301260","CATSKILL 1 N",-73.8667,42.2333,76,"COOP","23616"
"301265","CAYUGA LOCK",-76.7333,42.9500,116,"COOP","23617"
"301309","CENTERPORT",-73.3722,40.8839,9,"COOP","23623"
"301387","CHASM FALLS",-74.2167,44.7500,323,"COOP","23625"
"301391","CHATHAM",-73.6000,42.3667,128,"COOP","23626"
"301401","CHAZY",-73.4331,44.8800,52,"COOP","23628"
"301413","CHEMUNG",-76.6333,42.0000,251,"COOP","23629"
"301424","CHEPACHET",-75.1108,42.9097,402,"COOP","23632"
"301436","CHERRY VALLE",-74.7333,42.8167,415,"COOP","23635"
"301471","CHINA 2",-75.3833,42.1000,351,"COOP","23638"
"301484","CHURCHVILLE",-77.8833,43.1000,183,"COOP","23640"
"301492","CINCINNATUS",-75.8947,42.5436,320,"COOP","23641"
"301521","CLARYVILLE",-74.5667,41.9167,504,"COOP","23642"
"301523","CLARYVILLE 2",-74.6000,41.9167,634,"COOP","23643"
"301580","CLYDE LOCK 2",-76.8383,43.0589,119,"COOP","23646"
"301593","COBLESKILL",-74.4833,42.6833,274,"COOP","23648"
"301595","COBLESKILL 2",-74.4333,42.6667,356,"COOP","23649"
"301603","COHOCTON SCS",-77.5000,42.4667,445,"COOP","23651"
"301623","COLDEN 1 N",-78.6831,42.6631,312,"COOP","23655"
"301625","COLDEN 1W",-78.7111,42.6472,468,"COOP","23656"
"301664","COLTON 2 N",-74.9633,44.5858,177,"COOP","23657"
"301708","CONKLINGVILL",-73.9256,43.3203,246,"COOP","23660"
"301713","CONKLINGVILL",-73.9167,43.3167,223,"COOP","23661"
"301723","CONSTABLE 1",-74.3000,44.9167,128,"COOP","23662"
"301728","CONSTANTIA",-76.0000,43.2500,116,"COOP","23663"
"301752","COOPERSTOWN",-74.9283,42.7150,366,"COOP","23666"
"301761","COPAKE",-73.5522,42.1131,168,"COOP","23667"
"301787","CORNING",-77.0667,42.1333,347,"COOP","23670"
"301799","CORTLAND",-76.1833,42.6000,366,"COOP","23674"
"301896","CROSS RIVER",-73.6833,41.2667,73,"COOP","23676"
"301904","CROTON FALLS",-73.6667,41.3500,67,"COOP","23677"
"301912","CROTON LAKE",-73.8000,41.2333,76,"COOP","23678"
"301949","CUTCHOGUE",-72.5000,41.0167,12,"COOP","23679"
"301966","DANNEMORA",-73.7236,44.7206,408,"COOP","23680"
"301974","DANSVILLE",-77.7175,42.5656,201,"COOP","23681"
"302031","DELANSON 2NE",-74.1708,42.7669,300,"COOP","23686"
"302036","DELHI 2 SE",-74.9000,42.2500,439,"COOP","23687"
"302045","DELTA",-75.4333,43.2667,171,"COOP","23689"
"302047","DELTA DAM",-75.4278,43.2739,168,"COOP","23690"
"302060","DEPOSIT",-75.4275,42.0633,305,"COOP","23691"
"302071","DERBY 2 NW",-79.0000,42.7000,201,"COOP","23692"
"302079","DE RUYTER 4",-75.8833,42.8167,397,"COOP","23693"
"302129","DOBBS FERRY",-73.8344,41.0072,61,"COOP","23695"
"302137","DOLGEVILLE",-74.7667,43.0833,209,"COOP","23696"
"302164","DOWNSVILLE",-75.0000,42.0833,339,"COOP","23698"
"302169","DOWNSVILLE D",-74.9667,42.0833,396,"COOP","23699"
"302234","EAGLE BAY 3",-74.7667,43.7500,549,"COOP","23701"
"302236","EAGLE BRIDGE",-73.3667,42.9333,116,"COOP","23702"
"302239","EAGLE FALLS",-75.2000,43.9167,397,"COOP","23703"
"302277","EAST BLOOMFI",-77.4333,42.9000,265,"COOP","23704"
"302282","EAST BRANCH",-73.5833,41.4000,140,"COOP","23705"
"302356","EAST HOMER 2",-76.1167,42.7167,476,"COOP","23710"
"302366","EAST JEWETT",-74.1433,42.2356,607,"COOP","23712"
"302454","EAST SIDNEY",-75.2333,42.3333,352,"COOP","23713"
"302517","EDGEWOOD",-74.2333,42.1333,506,"COOP","23716"
"302554","ELIZABETHTOW",-73.5772,44.2522,189,"COOP","23720"
"302574","ELLENBURG DE",-73.7944,44.9094,262,"COOP","23722"
"302582","ELLENVILLE",-74.4000,41.7167,107,"COOP","23723"
"302599","ELMA",-78.6333,42.8500,236,"COOP","23724"
"302610","ELMIRA",-76.8000,42.1000,274,"COOP","23725"
"302627","ENDICOTT",-76.0878,42.0858,252,"COOP","23727"
"302829","FISHS EDDY",-75.1833,41.9667,311,"COOP","23737"
"302917","FORESTPORT",-75.2167,43.4333,345,"COOP","23740"
"302934","FORT DRUM",-75.7667,44.0333,192,"COOP","23741"
"303010","FRANKFORT LO",-75.1167,43.0667,125,"COOP","23748"
"303025","FRANKLINVILL",-78.4633,42.3297,485,"COOP","23750"
"303033","FREDONIA",-79.3119,42.4497,232,"COOP","23751"
"303038","FREEHOLD 2 N",-74.0667,42.3667,137,"COOP","23752"
"303042","FREEPORT",-73.6000,40.6667,6,"COOP","23753"
"303050","FREEVILLE 1",-76.3333,42.5167,320,"COOP","23754"
"303065","FRIENDSHIP 7",-78.2372,42.1378,500,"COOP","23755"
"303070","FRIENDSHIP 5",-78.2000,42.1667,604,"COOP","23757"
"303076","FROST VALLEY",-74.5500,41.9667,561,"COOP","23758"
"303087","FULTON",-76.3939,43.3050,110,"COOP","23759"
"303102","GABRIELS",-74.1667,44.4333,537,"COOP","23760"
"303124","GANNETT HILL",-77.4000,42.7000,602,"COOP","23762"
"303128","GARBUTT",-77.7833,43.0000,171,"COOP","23764"
"303138","GARDINER 1 W",-74.1500,41.6833,98,"COOP","23765"
"303144","GARDNERVILLE",-74.4872,41.3458,140,"COOP","23766"
"303177","GENEVA EXPER",-77.0000,42.8833,180,"COOP","23769"
"303184","GENEVA RESEA",-77.0308,42.8767,219,"COOP","23771"
"303259","GLENHAM",-73.9333,41.5167,84,"COOP","23773"
"303284","GLENS FALLS",-73.7333,43.3333,154,"COOP","23775"
"303319","GLOVERSVILLE",-74.3592,43.0492,247,"COOP","23779"
"303346","GOUVERNEUR 3",-75.5167,44.3500,128,"COOP","23781"
"303354","GOWANDA CORR",-78.9333,42.4833,265,"COOP","23783"
"303360","GRAFTON",-73.4667,42.7833,475,"COOP","23784"
"303365","GRAHAMSVILLE",-74.5333,41.8500,293,"COOP","23785"
"303373","GRAND GORGE",-74.4833,42.3667,415,"COOP","23786"
"303444","GREENE",-75.7667,42.3167,280,"COOP","23788"
"303464","GREENPORT PO",-72.3731,41.1019,5,"COOP","23790"
"303520","GROVELAND",-77.7667,42.6667,177,"COOP","23794"
"303602","HAMILTON",-75.5333,42.8167,369,"COOP","23802"
"303722","HASKINVILLE",-77.5675,42.4206,503,"COOP","23812"
"303766","HECTOR",-76.8833,42.5000,238,"COOP","23813"
"303773","HEMLOCK",-77.6083,42.7747,275,"COOP","23815"
"303781","HEMPSTEAD GA",-73.6333,40.7167,24,"COOP","23816"
"303786","HEMPSTEAD MA",-73.6667,40.6833,12,"COOP","23817"
"303839","HIGH FALLS",-74.1333,41.8333,43,"COOP","23821"
"303851","HIGHMARKET",-75.5208,43.5753,537,"COOP","23822"
"303864","HIGHMOUNT",-74.4833,42.1333,561,"COOP","23824"
"303889","HINCKLEY 2 S",-75.1500,43.3000,348,"COOP","23826"
"303916","HOFFMEISTER",-74.7333,43.3833,573,"COOP","23827"
"303955","HONEOYE",-77.5131,42.7914,244,"COOP","23832"
"303957","HONEOYE FALL",-77.5833,42.9500,186,"COOP","23833"
"303961","HOOKER 12 NN",-75.7158,43.8525,461,"COOP","23835"
"303970","HOPE",-74.2478,43.3117,268,"COOP","23837"
"303983","HORNELL ALMO",-77.7000,42.3500,404,"COOP","23839"
"304025","HUDSON CORRE",-73.8000,42.2500,18,"COOP","23842"
"304102","INDIAN LAKE",-74.2833,43.7500,506,"COOP","23847"
"304174","ITHACA CORNE",-76.4500,42.4500,293,"COOP","23851"
"304182","JACKSONBURG",-74.9167,43.0167,119,"COOP","23853"
"304207","JAMESTOWN 4",-79.1586,42.1097,381,"COOP","23855"
"304208","JAMESTOWN WA",-79.2333,42.1167,424,"COOP","23856"
"304473","KORTRIGHT 2",-74.8000,42.4167,527,"COOP","23869"
"304486","LACKAWACK",-74.4000,41.7833,220,"COOP","23870"
"304555","LAKE PLACID",-73.9847,44.2444,591,"COOP","23878"
"304563","LAKE RONKONK",-73.1333,40.8333,24,"COOP","23879"
"304575","LANSING MANO",-74.4653,42.4486,335,"COOP","23880"
"304647","LAWRENCEVILL",-74.7436,44.7214,152,"COOP","23883"
"304715","LEWISTON 1 N",-79.0500,43.1833,101,"COOP","23889"
"304731","LIBERTY 1 NE",-74.7333,41.8000,472,"COOP","23892"
"304754","LINCKLAEN",-75.8833,42.7000,387,"COOP","23893"
"304767","LINDEN",-78.1667,42.8833,342,"COOP","23894"
"304772","LINDLEY 2 N",-77.1333,42.0500,317,"COOP","23895"
"304782","LISLE",-76.0000,42.3500,297,"COOP","23896"
"304791","LITTLE FALLS",-74.8686,43.0603,274,"COOP","23898"
"304796","LITTLE FALLS",-74.8667,43.0333,110,"COOP","23899"
"304801","LITTLE FALLS",-74.7833,43.0167,94,"COOP","23900"
"304808","LITTLE VALLE",-78.8125,42.2472,495,"COOP","23901"
"304836","LOCKE 2 W",-76.4667,42.6667,366,"COOP","23902"
"304844","LOCKPORT 3 S",-78.6814,43.1392,184,"COOP","23903"
"304849","LOCKPORT 4 N",-78.6333,43.2000,134,"COOP","23904"
"304912","LOWVILLE",-75.4817,43.7975,262,"COOP","23905"
"304944","LYONS FALLS",-75.3667,43.6167,244,"COOP","23909"
"304952","MACEDON",-77.3019,43.0731,152,"COOP","23910"
"304984","MALLORY",-76.1000,43.3167,137,"COOP","23912"
"304996","MALONE",-74.3144,44.8489,268,"COOP","23914"
"305032","MANORKILL",-74.3167,42.3833,494,"COOP","23915"
"305113","MARYLAND 6 S",-74.9667,42.5167,363,"COOP","23918"
"305120","MARY SMITH",-74.8167,42.0500,464,"COOP","23919"
"305129","MASSENA SNEL",-74.7833,44.9833,61,"COOP","23920"
"305171","MAYS POINT L",-76.7667,43.0000,122,"COOP","23923"
"305231","MECHANICVILL",-73.6833,42.8833,12,"COOP","23926"
"305233","MECKLENBURG",-76.7578,42.4422,457,"COOP","23927"
"305248","MELROSE 1 NE",-73.6167,42.8500,107,"COOP","23929"
"305276","MERRIMAN DAM",-74.4331,41.8000,264,"COOP","23931"
"305283","MIDDLE BRANC",-73.6500,41.3833,116,"COOP","23932"
"305291","MIDDLEBURG",-74.3167,42.6000,220,"COOP","23933"
"305310","MIDDLETOWN 2",-74.4489,41.4603,213,"COOP","23934"
"305334","MILLBROOK",-73.6167,41.8500,250,"COOP","23936"
"305377","MINEOLA",-73.6183,40.7328,29,"COOP","23938"
"305426","MOHONK LAKE",-74.1550,41.7681,379,"COOP","23943"
"305435","MONGAUP VALL",-74.8167,41.6167,366,"COOP","23945"
"305512","MORRISVILLE",-75.7333,42.8333,520,"COOP","23952"
"305560","MOUNT LEBANO",-73.4000,42.4667,219,"COOP","23953"
"305597","MOUNT MORRIS",-77.9053,42.7314,268,"COOP","23955"
"305604","MOUNT PLEASA",-76.3667,42.4500,503,"COOP","23956"
"305635","NAPLES",-77.4000,42.6167,229,"COOP","23958"
"305639","NARROWSBURG",-75.0167,41.5667,226,"COOP","23959"
"305673","NEW ALBION",-78.9000,42.3000,567,"COOP","23962"
"305679","NEWARK",-77.0844,43.0467,152,"COOP","23965"
"305687","NEW BERLIN",-75.3333,42.6167,329,"COOP","23967"
"305711","NEWCOMB 3 W",-74.2167,43.9667,494,"COOP","23970"
"305714","NEWCOMB",-74.1814,43.9656,494,"COOP","23971"
"305743","NEW KINGSTON",-74.7000,42.2333,586,"COOP","23973"
"305751","NEW LONDON L",-75.6500,43.2167,122,"COOP","23975"
"305759","NEW PALTZ 4",-74.1333,41.6833,128,"COOP","23976"
"305769","NEWPORT 7 NE",-74.9167,43.2000,516,"COOP","23977"
"305796","NEW YORK AVE",-73.9808,40.5939,6,"COOP","23978"
"305804","NEW YORK LAU",-73.9333,40.7333,3,"COOP","23983"
"305821","NY WESTERLEI",-74.1167,40.6333,24,"COOP","23987"
"305840","NIAGARA FALL",-78.9500,43.1014,174,"COOP","23989"
"305869","NORFOLK",-74.9997,44.8053,70,"COOP","23990"
"305925","NORTH CREEK",-73.8969,43.6611,271,"COOP","23992"
"306047","NORTH TONAWA",-78.8467,43.0219,183,"COOP","23999"
"306062","NORTHVILLE",-74.2042,43.1592,241,"COOP","24000"
"306085","NORWICH",-75.5194,42.5011,311,"COOP","24001"
"306111","OAK HILL",-74.1500,42.4000,201,"COOP","24003"
"306138","OCEANSIDE",-73.6269,40.6328,4,"COOP","24005"
"306164","OGDENSBURG 4",-75.4486,44.7267,73,"COOP","24006"
"306184","OLD FORGE",-74.9839,43.7025,524,"COOP","24009"
"306196","OLEAN",-78.4519,42.0736,433,"COOP","24010"
"306229","ONEONTA 3 SE",-75.0000,42.4500,354,"COOP","24014"
"306232","ONEONTA STAT",-75.0667,42.4667,427,"COOP","24015"
"306314","OSWEGO EAST",-76.4928,43.4617,107,"COOP","24021"
"306346","OVID 4 S",-76.8167,42.6167,342,"COOP","24023"
"306356","OWEGO 3 WSW",-76.3167,42.0833,247,"COOP","24024"
"306411","PARISHVILLE",-74.8333,44.6333,229,"COOP","24027"
"306426","PARKSTON",-74.8167,41.9000,445,"COOP","24028"
"306441","PATCHOGUE 2",-73.0014,40.7967,17,"COOP","24029"
"306459","PAUL SMITHS",-74.2667,44.4333,509,"COOP","24030"
"306464","PAVILION",-78.0319,42.9294,291,"COOP","24031"
"306479","PEEKAMOOSE",-74.3833,41.9333,445,"COOP","24032"
"306510","PENN YAN",-77.0628,42.6711,253,"COOP","24033"
"306517","PENN YAN 8 W",-77.1833,42.6667,304,"COOP","24034"
"306525","PERRYSBURG",-79.0031,42.4647,369,"COOP","24036"
"306538","PERU 2 WSW",-73.5700,44.5658,155,"COOP","24038"
"306567","PHOENICIA",-74.3142,42.0864,265,"COOP","24043"
"306623","PISECO",-74.5231,43.4614,527,"COOP","24045"
"306649","PLATTE CLOVE",-74.0914,42.1389,619,"COOP","24046"
"306674","PLEASANTVILL",-73.7758,41.1314,98,"COOP","24049"
"306745","PORTAGEVILLE",-78.0400,42.5697,356,"COOP","24052"
"306765","PORT HENRY",-73.4500,44.0500,37,"COOP","24053"
"306774","PORT JERVIS",-74.6847,41.3800,143,"COOP","24055"
"306817","POUGHKEEPSIE",-73.9333,41.6833,31,"COOP","24059"
"306831","PRATTSBURG 2",-77.3000,42.5333,592,"COOP","24064"
"306833","PRATTSBURG",-77.2667,42.5167,439,"COOP","24065"
"306839","PRATTSVILLE",-74.4422,42.3281,368,"COOP","24066"
"306848","PRESTON HOLL",-74.2000,42.4333,268,"COOP","24068"
"306867","PULASKI 1 N",-76.1167,43.5833,122,"COOP","24069"
"306957","RAY BROOK",-74.1028,44.2961,494,"COOP","24071"
"307035","RHINEBECK 4",-73.8686,41.8847,92,"COOP","24078"
"307115","RIFTON 1 N",-74.0500,41.8500,12,"COOP","24084"
"307129","RIVERBANK",-73.7333,43.6000,229,"COOP","24085"
"307134","RIVERHEAD RE",-72.7158,40.9619,30,"COOP","24086"
"307195","ROCKDALE",-75.4000,42.3833,314,"COOP","24090"
"307210","ROCK HILL 3",-74.6167,41.5833,387,"COOP","24092"
"307317","ROXBURY",-74.5667,42.2833,454,"COOP","24099"
"307329","RUSHFORD",-78.2517,42.3944,469,"COOP","24100"
"307348","SABATTIS 3 N",-74.6667,44.1167,537,"COOP","24102"
"307400","SALAMANCA 2",-78.7203,42.1506,431,"COOP","24107"
"307405","SALEM",-73.3167,43.1667,149,"COOP","24108"
"307413","SALISBURY",-74.8667,43.1667,421,"COOP","24109"
"307472","SARANAC LAKE",-74.1333,44.3333,482,"COOP","24111"
"307484","SARATOGA SPR",-73.8167,43.0333,94,"COOP","24113"
"307497","SCARSDALE",-73.8000,40.9833,61,"COOP","24115"
"307505","SCHAGHTICOKE",-73.6000,42.9000,40,"COOP","24117"
"307524","SCHROON LAKE",-73.7667,43.8333,262,"COOP","24122"
"307532","SCHROON RIVE",-73.7000,44.0167,284,"COOP","24123"
"307544","SCHUYLERVILL",-73.5833,43.1167,34,"COOP","24124"
"307568","SCOTIA",-73.9833,42.8167,70,"COOP","24127"
"307587","SEA CLIFF",-73.6483,40.8506,30,"COOP","24129"
"307596","SEAGER",-74.5500,42.0500,586,"COOP","24130"
"307633","SETAUKET STR",-73.1047,40.9586,12,"COOP","24132"
"307705","SHERBURNE 2",-75.4833,42.6500,329,"COOP","24136"
"307713","SHERMAN",-79.5936,42.1572,475,"COOP","24137"
"307721","SHOKAN BROWN",-74.2000,41.9500,155,"COOP","24138"
"307742","SHRUB OAK",-73.8333,41.3333,128,"COOP","24140"
"307750","SILVER CREEK",-79.1428,42.5578,177,"COOP","24142"
"307772","SINCLAIRVILL",-79.2656,42.2786,494,"COOP","24143"
"307780","SKANEATELES",-76.4333,42.9500,267,"COOP","24144"
"307799","SLIDE MOUNTA",-74.4167,42.0167,808,"COOP","24145"
"307818","SMITHS BASIN",-73.4961,43.3519,43,"COOP","24146"
"307842","SODUS CENTER",-77.0125,43.2078,128,"COOP","24148"
"307944","SOUTH EDWARD",-75.2000,44.2667,244,"COOP","24155"
"308058","SOUTH WALES",-78.6000,42.7167,332,"COOP","24160"
"308080","SPECULATOR",-74.3617,43.5000,530,"COOP","24163"
"308088","SPENCER 2 N",-76.5000,42.2500,320,"COOP","24165"
"308104","SPIER FALLS",-73.7500,43.2333,119,"COOP","24174"
"308152","STAFFORD",-78.0833,42.9833,278,"COOP","24177"
"308160","STAMFORD",-74.6333,42.4000,542,"COOP","24178"
"308248","STILLWATER R",-75.0333,43.8833,515,"COOP","24182"
"308304","STORMVILLE",-73.7333,41.5333,279,"COOP","24184"
"308322","SUFFERN",-74.1572,41.1128,82,"COOP","24188"
"308386","SYRACUSE SUN",-76.1336,43.0331,173,"COOP","24193"
"308405","TANNERSVILLE",-74.1000,42.2000,586,"COOP","24197"
"308455","THERESA",-75.8000,44.2167,122,"COOP","24200"
"308503","TICONDEROGA",-73.4167,43.8500,49,"COOP","24204"
"308523","TITICUS",-73.6500,41.3333,82,"COOP","24208"
"308578","TRENTON FALL",-75.1500,43.2667,244,"COOP","24209"
"308586","TRIBES HILL",-74.2886,42.9464,91,"COOP","24210"
"308594","TROUPSBURG 4",-77.4833,42.0667,521,"COOP","24211"
"308600","TROY LOCK AN",-73.6833,42.7500,7,"COOP","24213"
"308611","TRUXTON",-76.0167,42.7167,354,"COOP","24214"
"308625","TULLY 4 NE",-76.0333,42.8333,396,"COOP","24217"
"308627","TULLY HEIBER",-76.0803,42.7603,579,"COOP","24218"
"308631","TUPPER LAKE",-74.4419,44.2333,512,"COOP","24219"
"308635","TURIN 1 N",-75.4167,43.6500,403,"COOP","24221"
"308665","UNADILLA",-75.3167,42.3167,311,"COOP","24222"
"308670","UNADILLA 2 N",-75.3167,42.3500,451,"COOP","24223"
"308739","UTICA",-75.2000,43.0833,177,"COOP","24228"
"308746","VALATIE 1 N",-73.6833,42.4333,91,"COOP","24230"
"308749","VALHALLA 2 E",-73.7667,41.0667,113,"COOP","24231"
"308773","VANDERBILT M",-73.3667,40.9000,34,"COOP","24232"
"308831","VESTAL 2",-76.0500,42.1000,253,"COOP","24233"
"308839","VICTOR",-77.4072,42.9933,219,"COOP","24236"
"308906","WALDEN 1 ESE",-74.1628,41.5514,122,"COOP","24240"
"308910","WALES",-78.5097,42.7417,332,"COOP","24241"
"308932","WALTON 2",-75.1333,42.1833,451,"COOP","24243"
"308936","WALTON",-75.1333,42.1667,378,"COOP","24245"
"308944","WANAKENA RAN",-74.9006,44.1481,460,"COOP","24246"
"308946","WANTAGH CEDA",-73.5053,40.6550,3,"COOP","24247"
"308959","WARRENSBURG",-73.8000,43.5500,238,"COOP","24249"
"308962","WARSAW 6 SW",-78.2167,42.6833,555,"COOP","24250"
"308967","WARWICK",-74.3667,41.2667,165,"COOP","24251"
"308987","WATERLOO",-76.8667,42.9000,152,"COOP","24252"
"309000","WATERTOWN",-75.8753,43.9767,151,"COOP","24253"
"309047","WAVERLY",-76.5333,42.0000,258,"COOP","24257"
"309055","WELLESLEY IS",-75.9286,44.3564,87,"COOP","24260"
"309072","WELLSVILLE",-77.9475,42.1172,460,"COOP","24261"
"309076","WELLSVILLE 4",-77.9833,42.1667,445,"COOP","24262"
"309117","WESTBURY",-73.6000,40.7333,27,"COOP","24267"
"309125","WEST CAMERON",-77.4167,42.2167,323,"COOP","24268"
"309189","WESTFIELD 2",-79.5856,42.2956,215,"COOP","24271"
"309248","WESTMORELAND",-75.4611,43.1594,172,"COOP","24276"
"309250","WEST MILTON",-73.9333,43.0333,134,"COOP","24277"
"309292","WEST POINT",-73.9608,41.3906,98,"COOP","24280"
"309303","WEST SAND LA",-73.6000,42.6167,195,"COOP","24281"
